course_id,Quality,Difficulty,For Credit,Would Take Again,Grade,Textbook,Comment,professor,department,Attendance,Online Class
 CIV10,1.0,4.0,,,,,"This guy may be smart but he's a loony-tune. Talks endlessly, never listens to a word edgewise, and acts out every nervous compulsive twitch in class while he's rambling.  Drove me right out of the room.",James Nichols ,Government department,,
 CIV10GOV,4.0,3.0,,,,,"I took two classes from him.  I did much better in the second one.  He talks on and on, the readings are dull, but the discussion is hot.  Don't be afraid to speak your mind and engage him.  He is one of the smartest profs. we've got.",James Nichols ,Government department,,
 GOV80,4.0,4.0,,,,,"gotta do the reading in this class and nichols is a talking head but he knows his stuff.  overall i got an A- and i think i aced the final cause i went back and made sure i read the sparknotes for each book, tho i read the real texts too",James Nichols ,Government department,,
 GOV166,4.5,3.0,,,,,Great Guy...somewhat goofy.  Really knows his stuff.  Also definitely the guy to take for Gov 80.,James Nichols ,Government department,,
 GOV20,3.5,2.0,,,,,Nice guy.  Understands and works with students.  Seems to like talking more than leading discussions.  Work load very reasonable.,James Nichols ,Government department,,
 RLST118,4.0,4.0,Yes,Yes,,No,"Prof Humes is really knowledgeable, but her lectures aren't very clear and she often gets sidetracked. However, she's very willing to work with you outside of class. She allows little time for written exams, but she's flexible with deadlines if you just ask, and tries to thoroughly prepare students for such assignments, quizzes or research papers.",Cynthia Humes ,Religious Studies department,Mandatory,
 RLST010,4.0,4.0,Yes,No,,Yes,"Awesome lady who's very knowledgeable about the subject matter, but expects a lot of her students. As someone who took this course to fulfill a GE, I was disappointed by the amount of time it required. If you're genuinely interested in Religious Studies, you'll have a blast! If not, get ready to slog through a LOT of reading & detailed note-taking.",Cynthia Humes ,Religious Studies department,Mandatory,
 RLST010,1.0,5.0,Yes,,,Yes,"Cynthia Humes is a brilliant woman but not the best teacher in the world. I have so much respect for her as a person, but her class was a struggle. ",Cynthia Humes ,Religious Studies department,,
 RLST010,2.5,4.0,Yes,,,Yes,Her lectures are extremely confusing and her tests are extremely long and she does not give enough time to write too many essay questions in too little time.,Cynthia Humes ,Religious Studies department,,
 FHS01,3.0,2.0,,,,Yes,Took her freshman class.  Very interesting. papers were the only grade and shes a fairly good grader.  I would take her if you have the chance.  work load is reasonable,Cynthia Humes ,Religious Studies department,,
 PHIL161,5.0,5.0,,,,Yes,"Hard class, but I loved this class, real interesting. Prof Humes really cares about her students, even cooked great Indian food for us!! Only probem is she doesn't teach that often, and only teaches the same class when she does.",Cynthia Humes ,Religious Studies department,,
 PHIL161,4.0,5.0,,,,Yes,"Really smart, very helpful. Loved the class!!!",Cynthia Humes ,Religious Studies department,,
 RLST161,3.0,5.0,,,,Yes,"Teaches an interesting course. Very knowledgeable, yet somewhat condescending. Erratic instructions and expectations. At times very friendly and others moody and snippy. If course material was not interesting her rating would be in the dumps.",Cynthia Humes ,Religious Studies department,,
 RELIGIOUS,4.5,1.0,,,,,"Most students really like her.  She acts like she's ""one of the gang"".",Cynthia Humes ,Religious Studies department,,
 ECON50,3.0,4.0,Yes,No,B-,Yes,"If you fall behind it's almost impossible to catch up. He's a nice guy, but he's a bit difficult to understand during lectures. Expect to do a lot of work on your own out of the textbook to get the concepts down and use his lectures to supplement AFTER you've already looked at the lesson. Not a horrid grader, but the policy was unclear & stressful.",Colin Wright ,Economics department,Not Mandatory,
 ECON101,5.0,1.0,Yes,,,No,Wright is right  :),Colin Wright ,Economics department,,
 ECON101,2.5,3.0,Yes,,,No,"Wright has a ""cult following"" status among CMCers. They have good reason for this -  he is a hidden gem of CMC. Despite his reputation, he's a great talker. Even though his teaching style and tests might make the class difficult, Wright is helpful in office hours & is willing to give out good grades despite a hard, but hilarious, class.",Colin Wright ,Economics department,Mandatory,
 ECON101,5.0,4.0,Yes,,Not sure yet,No,"I heard people suggest me not to take his class but it turns out to be the BEST class I had in CMC. It's totally Ok if you don't understand stuff in class, just go to the office hour. He can't be more helpful and caring. He gives me wise life advices and makes me think deeper in econ. If you are really in to econ, take him!",Colin Wright ,Economics department,Mandatory,
 ECON101,5.0,2.0,Yes,,,No,"Wright is a good bad even though he has a bad reputation. Class could be hard if you do not pay attention to his lectures. Despite that, overall it is a good class!",Colin Wright ,Economics department,Not Mandatory,
 ECON101,4.0,2.0,Yes,,A-,No,"Everyone gives Professor Wright a bad rap on campus. When I signed up for his course so many people warned me against it; however, I enjoyed his course. If you pay attention in class and take his notes, you have all the information that he will test you on. Plus, he is more than willing to help anyone out during office hours.",Colin Wright ,Economics department,Mandatory,
 ECON101,5.0,3.0,Yes,,,Yes,Niceset professor ever! Really helpful!,Colin Wright ,Economics department,,
 ECON101,5.0,3.0,Yes,,,Yes,"Many says that he is hard and bad. I agree that he is not easy, but he is a really good professor. He knows what he is talking about. When you actually reflect on what he taught, you can apply many of them to real life. Not a lot of professors teach something flexible to use.",Colin Wright ,Economics department,,
 ECON101,3.5,3.0,Yes,,,Yes,"He is pretty good, very helpful! He is a very good person! ",Colin Wright ,Economics department,,
 ECON101,1.0,4.0,Yes,,C-,No,You should not take this class! This is the worst econ professor I have ever had!,Colin Wright ,Economics department,Mandatory,
 ECON101,3.0,3.0,,,,No,"Despite what people say about him, Professor Wright is actually a pretty good professor.  If you pay attention during lectures and actually try and comprehend what he is saying, it's not that bad.  Yes he is more math-based than others, but he is very helpful during office hours.",Colin Wright ,Economics department,,
 FHS10,4.0,2.0,,,,Yes,Absolutely amazing class. Love the discussions and Professor Wright has his unbiased views which make a lot of the discussions interesting. TAKE THIS CLASS.  He has been given a bad reputation in the Econ Dept. but this class is awesome and the course material is pretty interesting. TAKE IT!,Colin Wright ,Economics department,,
 ECON101,5.0,3.0,,,,No,"He is great- doesn't assign too much work, but demands your full attention in class, which if you give him, will help a lot with tests. Plus his deviations and anecdotes during class are good times to catch up on the content and polish your notes. Very logical, no fluff, no spoon feeding, and a great professor!",Colin Wright ,Economics department,,
 101,4.0,3.0,,,,No,"Wright get's a really bad rep in the econ department. Personality wise, he is actually quite funny. The work load is quite easy, we only had two homeworks. All you have to do is study his modules, yes you have to know how to take the first derivative. But I found the use of math makes solving/understanding this class easier.",Colin Wright ,Economics department,,
 ECON50,1.0,5.0,,,,No,I thought Professor Wright's Econ 50 class was terrible for several reasons: 1) He is too math based. There were more equations than concepts. 2) Exams were hard to study for and questions were random 3) He taught the class assuming we had already taken Econ before in high school even though it's an intro course. DON'T TAKE WRIGHT!!,Colin Wright ,Economics department,,
 ECON101,2.5,4.0,,,,No,if you're not good at mnath dont take this class,Colin Wright ,Economics department,,
 ECON101,3.0,3.0,,,,No,"Prof. Wright is a great professor and I learned a lot about micro from him. Being a Mudder, no one else in my class knew any real math so they thought it was hard, but the numerical approach to problems was realistic and easier for me to understand.",Colin Wright ,Economics department,,
 ECON101,1.5,5.0,,,,Yes,Worst professor I have ever had. All he did was talk about how we didn't know enough math. He doesn't use the textbook hardly at all and his tests come out of nowhere. Plus he's hostile at his office hours. I regret taking the class 100%. Take Bjerk instead...,Colin Wright ,Economics department,,
 ECON101,4.5,2.0,,,,No,"He seems really hard but once you get used to his style of teaching, you learn sooo much. At times he is unintentionally intimidating but hes a nice guy really. He really knows his stuff and teaches Econ in a way it makes us think unlike other Econ teachers who use no math and just expect you to puke out defntions on the test. Best forthe long run",Colin Wright ,Economics department,,
 ECON101,1.0,5.0,,,,No,"If you take this prof you are making a huge mistake. Makes easy problems hard and hard problems impossible thru his own incompetence as a teacher. You will be dumbfounded trying to teach yourself because most of the material he makes up and you have to make sense of his scribbled notes, and he makes zero sense in class. Save yourself.",Colin Wright ,Economics department,,
 ECON50,1.5,5.0,,,,Yes,"Wright is not a good teacher!  I really like econ, but he is not good at teaching it.  There is no homework that you have to turn in, but the tests are very hard.  I liked the stories he told in class, and he's kinda funny, but I would've preferred if he taught better.  I took tons of notes, I thought i understood all of it, but the tests raped me",Colin Wright ,Economics department,,
 ECON101,4.0,4.0,,,,No,"Wright's micro, though harder than other micro classes around, is more fun. There's no homework, so three tests decide your grade. Tests are repititive, so it's not tough to crack them. If you want to learn, then you should definitely take this class.",Colin Wright ,Economics department,,
 ECON101,2.0,4.0,,,,No,"Perhaps not as bad as many people here say. There are only 3 graded assignments the whole semester. If you are unlucky enough to get him, go to class and study. Some people say if you get Wright, try again next semester, and that might be right if you aren't an econ person. Otherwise, you'll have a workless semester and a mediocre grade.",Colin Wright ,Economics department,,
 ECON50,2.5,4.0,,,,No,"Uses math exclusively to teach concepts.  I didn't put a whole lot of work in to the class, but I really studied for the last test and did well.  If you're willing to do outside work to study and are good with math, you'll do fine and learn some.  Funny, but digresses into material of 101.",Colin Wright ,Economics department,,
 ECON50,3.0,4.0,,,,No,"Everyday: ""This is kind of Econ101 stuff that you all won't understand, but I'm going to say it anyway...""  and he was right...we didn't understand.  I learned a lot ONLY because I went out and learned it ON MY OWN...",Colin Wright ,Economics department,,
 ECON101,4.0,4.0,,,,,"very challenging, but dont take all of these reviews too seriously.  if you really want to learn about econ and take an interesting class, i strongly recommend it, if you are too lazy to study for 3 tests in one semester, then come on, you dont deserve to be at claremont",Colin Wright ,Economics department,,
 ECON101,1.0,5.0,,,,,"Arrogant, Unclear and Pompus.  Makes material harder than it is, and is terrible at providing examples.  Avoid him.",Colin Wright ,Economics department,,
 MICROECONOMICS,1.0,5.0,,,,,Without a doubt the worst prof at CMC back in 1996 and it sounds like he is still going strong...,Colin Wright ,Economics department,,
 ECON50,1.5,5.0,,,C,,"he was funny in class, but unclear and the test material came out of nowhere...he is also too focused on math.  nice guy though",Colin Wright ,Economics department,Mandatory,
 101,1.0,5.0,,,,,Wright is Wrong! Avoid like the plague.,Colin Wright ,Economics department,,
 ECON50,1.0,5.0,,,,,"Avoid at ALL COSTS. If he is the only one teaching the class you want, wait until later to take it. His class will ruin your GPA and leave you clueless much of the time. He's a nice and funny guy, but he is a sucky and unfair teacher.",Colin Wright ,Economics department,,
 ECON50,1.0,4.0,,,,,"What a ridiculous professor. He is very unclear and never does any problems in class to prepare students for the midterms. Also, doesn't curve tests when the highest grade is an 81 and says his normal grade for an Econ 50 class is a B-. Avoid if possible",Colin Wright ,Economics department,,
 ECON101,2.5,3.0,,,,,"He's not clear enough and the lectures are somewhat disorganized. Having said that, he does bring up some neat problems in class and you'll learn how to graph dozens of lines in one graph. But he's pretty damn boring to listen to.",Colin Wright ,Economics department,,
 ECON101,2.0,4.0,,,,,"Funny guy...I don't know about how nice he is, though.  Not very willing to help or explain, or teach for that matter. His class frustrated me more than any class at CMC so far.",Colin Wright ,Economics department,,
 ECON101,2.0,5.0,,,,,Avoid if possible,Colin Wright ,Economics department,,
 ECON101,4.0,3.0,,,Not_Sure_Yet,,"Funniest prof I've taken. Also a genuine nice guy under his econ exterior. Only decently prepares his lectures, tends to ramble, but makes them good through poignant anecdotes. Hard subject, easy grader.",Colin Wright ,Economics department,Mandatory,
 ECON101,4.0,4.0,,,,,"Good prof but difficult subject no matter who you take it with... He can be slightly intimidating, but to do do well, you just need to work hard.",Colin Wright ,Economics department,,
 ECON101,2.0,4.0,,,,,"Blub-blub-blub, students ten years ago cared about econ.",Colin Wright ,Economics department,,
 ECON101,2.0,4.0,,,,,Don't you care about econ anymore? blub blub blub...  -Colin Wright,Colin Wright ,Economics department,,
 101,1.0,5.0,,,,,"cannot teach, boring",Colin Wright ,Economics department,,
 ARTH2000,4.5,4.0,,,,Yes,"Prof. Meyer is intensely brilliant and provokes thoughtful discussion, making tricky concepts fun to think about. Her class is deeply challenging, combining serious readings with weekly writings and asking students to critically analyze complex texts and images. You will succeed if you strive, and she'll make you want to strive. I recommend!",Ann Meyer ,Literature department,,
 DANTE1,5.0,5.0,,,,No,"Prof Meyer is a very eccentric prof, no doubt about it. She is also very serious about lit, so if you take her class take it seriously. And if you like Dante, you must take her class. I personally was reluctant to take Dante, but she opens your eyes to his brilliance. One of the hardest and most stimulating lit classes I took at CMC.",Ann Meyer ,Literature department,,
 LIT10,1.5,4.0,,,,No,"Before I took the class I thought that Meyer's ratings were tough. They are not. Professor Meyer does not care about her lit 10 classes and she does not prepare for them. She is not that hard, but she assigns grades quite randomly.",Ann Meyer ,Literature department,,
 DANTE112,2.5,4.0,,,,Yes,"She's a little batty (replied to a request to meet outside office hours with ""Your second paper topic looks great.""), but you come to love her. She leads the most intellectual class discussions I've ever encountered, and she doesn't overload you with pointless work. She LOVES Dante, so if you have any interest in him, take her class!",Ann Meyer ,Literature department,,
 LIT1,4.0,4.0,,,,Yes,"She can be intimidating at times, but she's an excellent professor with a vibrant passion for literature.  She's very open to student ideas and encourages expression at every opportunity.  You must do all the reading and attend every class in order to succeed, but you'll find that you enjoy it and you will learn a great deal.",Ann Meyer ,Literature department,,
 LITSECT,4.0,2.0,,,,Yes,"I'm not a lit major but I've taken several lit courses bc of Meyer.  Despite what other negative comments there might be, give her a chance.  She doesn't demand much of you and she usually only assigns short essays.  She gets incredibly excited about the topics and (if you try some) you'll get excited too.  She's brilliant and awesome!",Ann Meyer ,Literature department,,
 DANTE,4.5,3.0,,,,,"I love my experience with Meyer. She does not hold your hand in class, spoon feeding you information like you're a baby bird but leads class discussions forcing us to think about the text in new ways. She requires her students to respect the educational experience in her class, which is too much for some.",Ann Meyer ,Literature department,,
 LIT10,4.0,3.0,,,,,Very passionate and knowledgable.,Ann Meyer ,Literature department,,
 LIT20,2.0,3.0,,,,,"If you're interested in French feminist literature, this is the place for you.  Very harsh on guys.",Ann Meyer ,Literature department,,
 LIT63,1.5,2.0,,,,,Seems to be very hit-or-miss. She loves butt-kissers. Do not question her statements (especially if you're right & can prove it) or she will hate you. Talk to her about the papers or she'll get grumpy. Tread lightly with her and you should be fine.,Ann Meyer ,Literature department,,
 LIT10,1.5,3.0,,,,,"steer clear, but if you can't, dont get on her bad side",Ann Meyer ,Literature department,,
 LIT62,5.0,3.0,,,,,"I don't know about her bad side, but I found her to be really passionate about the subject which was refreshing.  She was nice and seemed to be willing to accept different interpretations.",Ann Meyer ,Literature department,,
 LIT10,4.5,3.0,,,,,Don't get on her bad side but she's very clear as to what is and isn't acceptable.  If you participate in class then you are golden.,Ann Meyer ,Literature department,,
 LIT63,2.0,3.0,,,,,"DO NOT GET ON HER BAD SIDE.
 again: 
 DO NOT GET ON HER BAD SIDE.",Ann Meyer ,Literature department,,
 LIT10,1.0,3.0,,,,,"She refused to teach, instead making us lead our own class discussions (but interrupting frequently, of course, to tell us we were wrong.)  Better hope you agree with her viewpoints.  Also, if you're a guy, try and stear clear - MANHATER",Ann Meyer ,Literature department,,
 LIT10,3.5,2.0,,,,,"My mom liked her.  I guess that's the only nice thing I have to say, about her.  She almost hit me with her car!  And I was a pedestrian... live in fear, people",Ann Meyer ,Literature department,,
 LIT57,2.0,2.0,,,,,No Comments,Ann Meyer ,Literature department,,
 LIT10,1.5,3.0,,,,,No Comments,Ann Meyer ,Literature department,,
 LIT10,2.5,4.0,,,,,Whoa.  Very serious and doesnt take well to those who dont do as she wants,Ann Meyer ,Literature department,,
 FHS010,1.0,4.0,Yes,No,,Yes,Would not recommend taking him for fhs or even govt. A lot of people said hes easy but hes not. Hes become a very hard grader. What was most annoying was that we never got any guidelines on papers. He told us to write about anything and gave no structure. Also he has a very weird grading system in which he uses points. very boring class.,Jay Martin ,Government department,Mandatory,
 FHS010,5.0,1.0,Yes,Yes,A+,No,"Get ready to write a one-page essay every week exploring one of the various different humanities subjects you will be exposed to in this class. Jay Martin is a really sweet and kind professor, and he has some cool perspectives and really bad-ass life experiences to share. Fun guy to get to know! (Also, take him if you want an easy-A FHS class.)",Jay Martin ,Government department,Mandatory,
 GOV20,3.0,4.0,Yes,Yes,,Yes,Boring lectures WHO SAID THIS CLASS WAS EASY? lots of readings. daily quizzes.   but he's a nice person,Jay Martin ,Government department,Mandatory,
 GOV20,4.5,3.0,Yes,,A,Yes,"Pretty manageable intro gov class, lots of reading and daily quizzes, but no big tests or long essays, only 1 page papers. Participate and show you care",Jay Martin ,Government department,Mandatory,
 GOV20,4.0,3.0,Yes,,A-,Yes,"Very nice man. Writes amazing recommendations, so get to know him. Intro level gov class- His lectures could be boring at times, but hes clearly interested in the subject matter.  Participate for the debates and do the readings for the daily quizzes. An A is not impossible.",Jay Martin ,Government department,Mandatory,
 GOV020,4.0,3.0,Yes,,A,Yes,"Awesome guy.  Old, tenured, but still clearly has a passion for education and learning.  Not in that he loves helping students but that he loves talking about his subject matter.  Lectures are boring and just a review of the reading, but he drops in nuggets about his life (was a spy).  CLASS IS GRADED ON A CURVE so 30% get As, 50% Bs, 20% Cs.",Jay Martin ,Government department,Mandatory,
 GOV20,3.0,3.0,Yes,,B+,Yes,Really nice and interesting person. I recommend you go to lunch with him when he offers. There's a good amount of reading in the beginning but it gets easier. Had daily quizzes and then daily debates. We read a lot of supreme court cases.,Jay Martin ,Government department,,
 FHS,3.5,1.0,,,,Yes,"Professor Martin is a very sweet man who knows a lot about different subjects, but he tends to ramble on during class discussions. Gives multiple one page papers plus a final paper of 12+ pages. Subject material (ballet and opera) is great. Easy class overall, but not very invigorating or interesting during class lectures.",Jay Martin ,Government department,,
 FHS010,5.0,2.0,,,,Yes,"FHS:Opera/Ballet.Signed up for it simply for the sake of trying something new.Now,I love the genres.I attribute my new-found appreciation and growth simply with respect to  lit. to Dr. Martin.1 1-page essay/wk.20pg final paper.no midterms.He practices psych, is a gov. prof,knows 7 languages,and was a Buddhist Monk.kind man;relaxed class;good books",Jay Martin ,Government department,,
 GOV20,4.0,1.0,,,,No,Super laid-back gov 20 class. Took as a GE because I had no interest in the subject at all. Only downside was daily quizzes but definitely better than having huge exams to study for. Very easy class and good discussions in class.,Jay Martin ,Government department,,
 GOV20,3.0,1.0,,,,Yes,"I was someone that took gov in high school and had no interest in taking gov 20. if you are this person- jay martin is for you. he is the easiest prof i have ever had, yet he makes the class interesting for people that know a little about gov coming in. no hw, no papers, no final- just fill in the blank tests. easiest A ever",Jay Martin ,Government department,,
 GOV20,4.5,2.0,,,,Yes,"good teacher, a little spacey, wants everyone to do well",Jay Martin ,Government department,,
 GOV180E,4.0,2.0,,,,Yes,Interesting prof with so many amazing stories!,Jay Martin ,Government department,,
 GOV20,4.0,2.0,,,,Yes,Professor Martin is awesome.  I had virtually no interest in taking Gov 20 but it ended up being one of my favorite classes at CMC thanks to him.  The second half of the class was devoted to Supreme Court cases which was really interesting.  He is always available for help and give you his home phone number in case you need it.,Jay Martin ,Government department,,
 CIV10,3.0,2.0,,,,Yes,"Jay Martin was brought to CMC to create the CIV program, thus...it's natural that he's really good at teaching it.  You look at a lot of classic texts (I had read almost all of them  in HS). One page reaction paper due with each text.  Lots of interesting class discussion.  Has a super interesting life.  Very particular about Strunk & White.",Jay Martin ,Government department,,
 GOV20,4.5,2.0,,,,,"Best professor I've had at CMC to date. Highly knowledgeable, helpful, a good communicator, and a very kind person. You won't get nearly as much out of the course though w/o doing most of the readings. Lectures are chill, even funny at times. Office hours are great. Take him & you'll learn alot minus the stress & garbage assignments.",Jay Martin ,Government department,,
 CIV10,3.0,3.0,,,A,,His class is fairly easy (1 page paper a week) until the end.  Then he smacks you with a 20 page final!,Jay Martin ,Government department,Mandatory,
 GOV20,5.0,2.0,,,,,"He's a bowl of knowledge and an interesting guy, very helpful in office hours and only one midterm and then the final, if you do the readings you'll be fine, if you don't it's not going to be fun...class gets relatively long, but he's an interesting prof!",Jay Martin ,Government department,,
 GOV20,5.0,1.0,,,,,guy is sooo smart and knows so many random facts!,Jay Martin ,Government department,,
 CIV10,4.0,1.0,,,,,Be prepared to sleep in class and still come out with an A. The man has lead an amazing life and you'll certainly hear all about it.,Jay Martin ,Government department,,
 AST66,5.0,3.0,Yes,Yes,A,No,"I took astro for my science GE, but ended up really enjoying it! Tom is a great teacher with a fabulous sense of humor. There's no HW besides studying for the 4 exams (all MC, challenging but fair) and the material is fascinating. There are only 5 labs, which are relatively quick/easy, but you CANNOT miss any. Would definitely recommend the class!",Thomas Dershem ,Physics department,,
 ASTR066,2.0,4.0,Yes,No,B+,No,"Although I do think he was very nice and approachable, his lecture style was very convoluted and hard to follow. The test questions were also sometimes hard to follow/confusing. Overall, wouldn't recommend it if you're planning on taking it for your science requirement - was not an easy class at all",Thomas Dershem ,Physics department,Not Mandatory,
 PHYS30LAB,5.0,2.0,Yes,Yes,,No,Professor Dershem is a great physics lab professor! He goes in great detail of physics concepts and helps you for the physics lab practical! Highly recommend- very chill person,Thomas Dershem ,Physics department,,
 ASTR066,3.5,1.0,,,,No,Great Professor. Great and interesting Guy. Learned a lot surprisingly despite my lack of interest. Has some strange tests question choices but is mostly straight foward in what he wants on tests.,Thomas Dershem ,Physics department,,
 ASTRO066,2.0,1.0,,,,No,"His lecture is interesting and isn't difficult to understand. 4 exams were all made of multiple questions, and labs are very simple.",Thomas Dershem ,Physics department,,
 ASTR66,4.0,2.0,,,,Yes,"His lectures and his tests are accurate, I have no idea what the last reviewer was talking about. If you are an intelligent  person the tests are not that difficult at all- I got an A without trying to hard. In spite of the fact that his lectures are all powerpoint presentations, this is probably one of the most interesting classes I've ever taken.",Thomas Dershem ,Physics department,,
 AST66,1.0,5.0,,,,,"an absolute nightmare.  I took this class for fun and ended up correcting him on every detail nearly half the time.  His tests were inacurate and he expects you to do most the learning on your own.  His teaching style is designed for (dare I say?) a large state school, which is what Claremont is SO not about.",Thomas Dershem ,Physics department,,
 PHYS30LAB,4.5,4.0,,,,,Prof Dershem seriously wants you to learn-- my group was the last to leave lab every time and he still kept his patience.  Very tough to get a good grade but if you ask for help he will give it to you!  A really nice guy!,Thomas Dershem ,Physics department,,
 PHYS30LAB,1.0,3.0,,,,,"umm yeah...my mother says if you have nothing nice to say, dont say anything at all, lets just leave it @ that",Thomas Dershem ,Physics department,,
 PHYSICS30,1.0,3.0,,,,,No Comments,Thomas Dershem ,Physics department,,
 RLST143,5.0,2.0,,,A-,Yes,Great professor. Pretty interesting and not very difficult. Don't need to do any of the reading.,Stephen Davis ,Philosophy department,Mandatory,
 PHIL040,4.5,3.0,,,,Yes,"Really fascinating class and professor.  He's super smart.  Very much a lecture, but he does ask for your ideas and opinions and really likes it when you speak up.  He's very thorough and works hard to present all sides without bias.  The tests and essays are hard- I recommend talking to him in his office hours beforehand.",Stephen Davis ,Philosophy department,Mandatory,
 PHIL30,4.5,2.0,,,,Yes,"Davis is an excellent lecturer and a knowledgeable scholar of Philosophy.  He excels at presenting a relatively unbiased  , even-handed look at various historical philosophers.  The class is lecture based, but he does ask for student input. The course work is not particularly challenging, especially if you're interested in the subject matter.",Stephen Davis ,Philosophy department,,
 PHIL200,5.0,4.0,,,,Yes,Stephen Davis is a dedicated scholar and caring teacher. He addresses his students with respect but demands their best thinking. The only bad thing I can say is that he is retiring soon. I wish I could learn more from him.,Stephen Davis ,Philosophy department,,
 PHIL036,4.5,4.0,,,,Yes,"Enjoyed his class. Learned a lot. However, I thought the way he graded the exams was quite unfair & unclear to students. Not a ton of work--2 5pg papers and 2 (tough) exams.",Stephen Davis ,Philosophy department,,
 PHIL30,5.0,3.0,,,,Yes,lectures are so clear & comprehensive that you don't need to read; just GO TO CLASS & take good notes. not an easy grader. knows a TON. open to student opinions but not much discussion - more focus on history of phil than student discussion. good class.,Stephen Davis ,Philosophy department,,
 RLST143,5.0,3.0,,,,Yes,"Davis is a GREAT lecturer and is always open to comments/questions, which he answers with clarity and respect. You hardly have to do the reading, because he just explains everything so well in class. He likes people who participate in the (minimal) discussions. I'd recommend him to anyone who likes a strong lecture class in an interesting subject!",Stephen Davis ,Philosophy department,,
 RLST43,4.5,2.0,,,,Yes,"Great professor.  Knows his stuff.  He cleans up most of the reading in his lectures and makes it understandable.  He keeps the class pretty basic and not extremely demanding, though there's a decent amount of reading.  Good for a GE, and a great religion/philosophy professor.",Stephen Davis ,Philosophy department,,
 PHIL170,3.0,5.0,,,,Yes,"do NOT take this course to satisfy a GE or for an intro philosophy course. concepts are extremely hard to grasp and the reading is dense and circular. prof davis does a decent job explaining some of the material, but not all of it. he's a nice guy, though, and will help if you ask. if you're really into philosophy, this might be a class for you.",Stephen Davis ,Philosophy department,,
 RLST093,5.0,3.0,,,,Yes,"Davis is an amazing prof.  He's entertaining, engaging, and really seems to care about the students.  He's just generally a great guy",Stephen Davis ,Philosophy department,,
 PHIL70,4.0,4.0,,,,,"I loved him.  He is brilliant and known person in his feild.  He talks kinda dry, but if you are interested in the subject, the classes are very interesting.  He cares a lot about his students, and hears everyones different views.  He is a hard grader, with only four assignments all worth 25% of your grade.  If you want to learn, take his class.",Stephen Davis ,Philosophy department,,
